compliance,acceleration,deceleration,result,cluster
3,1,4,69,1
3,5,3,69,1
3,3,2,69,1
4,3,3,71,5
3,3,2,71,1
2,1,5,72,1
5,5,3,72,5
4,3,3,72,5
4,1,4,73,1
4,5,2,73,5
3,1,4,74,1
3,5,5,75,5
5,4,4,76,5
5,5,3,76,5
4,2,3,76,1
5,4,4,79,5
4,5,3,79,5
4,5,4,81,5
5,3,3,81,5
5,1,5,82,5
5,5,4,82,5
4,2,5,83,5
4,2,5,84,5
5,2,4,84,5
4,1,5,85,1
4,2,5,85,5
3,1,5,85,1
5,3,5,86,5
5,5,5,86,5
5,3,5,87,5
5,3,5,88,5
3,1,5,88,1
5,4,5,89,5
5,2,4,91,5
1,1,2,15,4
1,2,1,19,4
2,1,1,20,4
1,1,1,20,4
1,1,3,21,4
1,2,3,21,4
1,4,1,22,3
3,4,1,23,1
1,1,2,24,4
1,2,3,25,4
2,3,1,25,4
2,5,1,25,3
1,3,1,26,4
1,1,3,27,4
1,3,2,27,4
1,3,2,28,4
1,1,1,28,4
1,2,3,29,4
4,1,1,29,4
4,5,1,29,1
2,5,1,29,3
1,2,4,30,1
1,3,2,31,4
4,1,1,31,4
1,5,3,32,2
1,4,2,32,3
5,2,1,32,5
2,3,2,33,3
1,3,2,33,4
1,5,2,33,3
1,4,3,34,2
2,1,2,34,4
2,2,3,35,4
1,5,2,35,3
1,5,5,36,5
2,3,3,36,2
1,3,3,36,3
2,4,2,36,3
1,5,4,37,2
1,1,4,38,4
1,4,4,38,2
2,2,3,39,4
2,2,4,40,1
2,4,3,40,2
5,2,2,40,5
4,2,1,40,1
3,1,2,41,4
5,4,1,41,1
3,3,1,41,4
1,5,5,42,5
3,1,2,42,4
5,2,2,43,5
1,3,4,44,2
2,4,2,44,3
2,5,3,45,1
1,3,5,46,2
2,5,3,46,1
1,3,5,48,2
2,4,3,48,2
5,4,2,48,5
2,3,4,49,1
2,1,3,50,4
2,3,4,51,1
5,1,3,52,1
4,3,2,52,5
2,5,5,53,5
4,1,3,53,1
4,3,2,53,5
2,4,5,54,5
4,3,2,54,5
2,2,5,55,1
2,4,5,55,5
5,4,3,56,5
3,2,3,56,1
2,1,4,57,4
3,5,2,59,1
3,2,4,60,1
5,4,3,60,5
3,2,3,60,1
3,5,2,61,1
5,2,3,62,5
3,3,2,62,1
4,3,1,62,1
3,2,4,64,1
3,4,3,64,1
3,5,2,64,1
3,4,4,65,5
3,4,4,66,5
3,5,3,66,1
3,5,4,67,5
4,3,1,67,1
3,4,5,69,5
4,3,3,69,5
3,4,4,70,5
4,2,4,71,5
5,1,4,72,5
4,1,4,72,1
4,3,5,73,5
4,3,4,73,5
4,5,4,73,5
4,5,3,73,5
4,3,4,74,5
5,5,3,74,5
4,5,3,74,5
4,5,3,75,5
4,5,2,77,5
4,3,5,78,5
5,4,4,78,5
4,4,4,80,5
4,4,3,80,5
4,1,5,81,1
3,5,5,81,5
5,4,4,83,5
5,3,3,83,5
5,4,5,85,5
5,1,5,86,5
4,1,5,86,1
3,1,5,86,1
5,2,4,86,5
5,1,5,87,5
5,4,5,87,5
5,5,5,87,5
5,3,4,88,5
5,2,4,92,5
5,4,5,93,5
1,1,2,17,4
1,2,1,18,4
1,4,1,19,3
2,5,1,21,3
4,1,1,22,4
3,1,1,22,4
2,1,1,22,4
2,2,1,22,4
2,3,1,22,4
2,4,1,22,3
2,5,1,22,3
1,2,1,22,4
1,2,3,23,4
1,2,2,23,4
2,3,1,23,4
2,2,1,24,4
2,3,1,24,4
2,5,1,24,3
1,1,1,24,4
1,1,1,25,4
1,3,1,25,4
1,2,4,26,2
4,1,1,26,4
2,5,1,26,3
1,2,4,27,1
5,5,1,27,5
5,5,1,28,5
1,5,3,31,2
5,1,1,31,1
4,4,1,31,1
2,2,2,33,4
1,5,3,35,2
3,1,2,35,4
1,3,3,37,3
1,2,5,38,2
2,2,4,38,1
2,3,3,39,2
2,4,3,39,1
1,2,5,40,2
1,3,4,40,2
2,5,3,42,1
2,4,2,42,3
2,2,3,43,4
3,3,1,43,4
2,5,3,44,1
5,2,2,44,5
5,4,1,44,1
2,4,4,45,2
4,2,1,45,1
1,1,5,46,2
1,3,5,47,2
2,5,3,47,1
2,2,5,48,1
1,1,5,48,2
1,3,5,49,2
1,4,5,49,2
2,4,4,49,2
2,2,5,50,2
2,5,4,50,5
5,1,3,50,1
3,1,3,51,4
2,1,3,51,4
3,2,1,51,4
2,4,5,52,5
2,5,5,52,5
2,4,4,52,2
4,1,3,52,1
5,4,2,54,5
2,1,4,56,4
2,5,5,58,5
5,1,3,58,1
2,4,5,59,5
2,5,5,59,5
5,2,3,59,5
3,3,4,60,1
5,2,3,60,5
3,2,2,60,4
3,3,3,62,1
3,2,3,63,1
3,2,5,64,5
3,3,4,64,1
4,2,2,65,1
3,2,5,67,5
2,1,5,67,1
4,3,3,67,5
5,1,4,68,5
3,1,4,68,1
4,3,3,68,5
3,5,3,68,1
5,1,4,69,5
4,2,3,69,1
3,4,3,69,1
5,1,4,70,1
4,3,1,70,1
3,2,5,71,5
3,4,5,71,5
3,2,5,72,5
4,5,4,72,5
4,2,4,73,5
4,3,5,74,5
4,1,4,74,1
5,5,4,75,5
4,2,4,75,5
5,5,3,75,5
3,5,5,76,5
4,2,4,76,5
4,2,4,77,5
4,4,3,77,5
3,5,5,78,5
5,5,4,78,5
4,3,4,79,5
5,3,3,79,5
5,4,4,80,5
4,4,5,81,5
4,1,5,82,1
4,1,5,83,1
5,4,5,84,5
5,5,5,84,5
3,1,5,84,1
5,3,4,84,5
5,3,1,86,5
4,1,5,90,1
4,2,5,90,5
5,2,5,95,5
2,1,1,18,4
2,2,1,19,4
2,2,1,21,4
3,1,1,23,4
1,1,1,23,4
1,5,1,23,3
1,1,3,24,4
4,5,1,24,1
2,1,1,24,4
1,2,4,25,1
1,2,2,25,4
5,1,1,25,4
3,1,1,25,4
2,1,1,25,4
1,2,3,26,4
5,1,1,27,1
3,1,1,28,4
3,5,1,28,1
5,5,1,29,5
2,3,1,29,4
1,5,3,30,2
1,5,2,30,3
5,1,1,30,4
5,2,1,31,5
1,3,2,32,4
4,5,1,32,1
1,2,4,33,1
4,1,2,33,4
1,3,1,33,4
1,1,4,34,4
5,1,2,34,5
2,2,2,34,4
1,4,3,35,2
2,3,2,35,3
1,3,2,35,4
5,2,1,35,5
2,2,2,36,4
1,3,4,38,2
1,5,3,38,2
4,1,2,38,4
5,2,2,39,5
1,5,5,40,5
4,1,2,40,4
5,4,1,40,1
3,3,1,40,4
1,4,4,41,2
2,5,3,41,1
1,3,4,42,2
5,2,2,42,5
2,5,2,42,1
2,3,3,43,2
4,2,1,43,1
2,5,2,44,1
3,3,1,44,4
2,5,2,45,1
5,4,1,45,1
3,3,1,45,4
2,3,4,46,1
4,2,1,46,1
2,3,4,47,2
2,5,4,48,5
3,1,3,50,4
3,3,5,51,5
4,1,3,51,1
3,3,5,57,5
2,4,5,57,5
5,5,2,57,5
5,3,2,58,5
5,5,2,58,5
3,5,2,58,1
5,3,2,60,5
2,1,4,61,4
3,2,2,61,4
3,2,3,62,1
3,4,3,62,1
5,3,2,62,5
3,4,2,63,1
3,4,5,64,5
5,5,2,64,5
4,4,2,64,1
3,3,2,64,1
3,3,4,65,1
4,3,3,65,5
3,3,2,65,1
4,1,4,66,1
3,5,4,66,5
3,4,3,66,1
3,1,4,67,1
3,5,3,67,1
4,4,2,67,1
3,3,2,67,1
4,1,4,68,1
4,1,4,69,1
3,1,4,70,1
3,5,4,70,5
4,3,5,71,5
3,4,3,71,1
3,5,3,71,1
4,3,5,72,5
4,2,4,72,5
3,1,4,72,1
3,5,5,73,5
5,1,4,73,5
3,4,4,73,5
4,4,3,75,5
4,5,4,76,5
4,4,5,77,5
3,5,5,77,5
4,5,5,78,5
5,3,3,78,5
4,2,3,78,1
3,5,5,80,5
4,2,4,80,5
4,4,4,81,5
4,5,5,82,5
5,5,5,83,5
4,4,4,83,5
5,5,4,84,5
5,4,4,85,5
5,3,1,85,5
4,1,5,87,1
5,2,4,87,5
3,1,5,89,1
5,3,1,89,5
5,2,5,93,5
5,3,5,93,5
1,1,2,16,4
1,2,3,20,4
1,4,1,20,3
1,2,1,21,4
1,4,1,21,3
1,5,1,22,3
1,2,4,24,1
4,1,1,25,4
4,4,1,25,1
3,5,1,25,1
1,4,2,26,3
3,5,1,26,1
2,1,1,26,4
2,3,1,26,4
2,4,1,27,3
1,1,1,27,4
1,3,1,27,4
1,4,1,27,3
1,5,1,27,3
1,2,3,28,4
3,5,1,30,1
3,4,1,31,1
1,3,1,31,4
2,1,2,32,4
5,5,1,32,5
1,3,1,32,4
1,4,3,33,2
5,1,2,33,5
5,2,1,33,5
4,5,1,33,1
4,1,2,34,4
1,5,2,34,3
1,1,4,35,4
1,4,4,35,2
1,5,4,35,2
5,2,2,36,5
1,2,5,37,2
1,1,4,37,4
1,4,3,37,2
5,2,2,37,5
3,1,2,37,4
2,2,2,37,4
2,4,2,37,3
5,4,1,37,1
4,2,1,37,1
1,5,4,38,2
1,2,5,39,2
1,5,4,39,2
3,3,1,39,4
2,5,3,40,1
1,3,4,41,2
2,2,4,42,1
2,4,3,43,2
1,3,5,45,2
2,3,3,45,2
2,4,3,45,2
2,5,4,46,5
2,1,3,46,4
1,1,5,47,2
1,4,5,47,2
2,2,4,47,1
4,3,2,48,5
2,1,3,49,4
2,4,5,51,5
2,2,5,52,1
2,3,5,52,2
3,1,3,52,4
3,2,1,52,4
5,1,3,53,1
3,1,3,53,4
2,2,5,54,1
3,3,5,55,5
5,1,3,55,1
3,2,2,55,4
2,2,5,56,1
3,2,4,56,1
5,3,2,56,5
3,2,2,57,4
3,5,2,57,1
3,2,1,59,4
3,3,4,61,1
3,3,4,63,1
4,3,1,63,1
3,2,5,66,5
4,4,2,66,1
3,4,5,67,5
5,1,4,67,1
3,4,2,67,1
2,1,5,68,1
5,2,3,68,5
4,4,2,68,5
4,3,5,70,5
2,1,5,70,1
4,1,4,70,1
4,2,3,70,1
3,4,3,70,1
3,1,4,71,1
3,4,5,72,5
3,5,5,72,5
4,2,3,73,1
4,4,3,73,5
3,5,5,74,5
4,2,3,74,1
4,3,5,75,5
4,3,4,75,5
4,5,4,75,5
3,5,4,75,5
5,3,3,76,5
4,3,5,77,5
5,5,4,77,5
4,5,3,77,5
5,5,3,78,5
4,4,3,78,5
4,4,5,79,5
3,5,5,79,5
4,5,4,80,5
5,5,5,81,5
4,2,5,82,5
5,1,5,83,5
4,5,5,84,5
5,4,5,86,5
4,2,5,86,5
5,1,5,88,5
5,2,4,90,5
5,4,5,92,5
5,2,5,99,5
1,1,2,19,4
2,1,1,19,4
1,5,1,20,3
1,2,2,21,4
1,5,1,21,3
1,1,3,22,4
1,2,2,22,4
3,4,1,22,1
1,1,1,22,4
1,1,2,23,4
1,2,1,23,4
1,2,1,24,4
1,1,3,26,4
4,4,1,26,1
2,4,1,26,3
4,1,1,27,4
2,2,1,27,4
1,2,4,28,2
4,4,1,28,1
2,4,1,28,3
1,2,4,29,1
1,4,3,29,2
4,4,1,30,1
3,4,1,30,1
1,3,1,30,4
1,5,4,32,2
1,4,3,32,2
2,2,2,32,4
1,5,3,33,2
5,5,1,33,5
1,5,3,34,2
2,2,2,35,4
1,4,2,35,3
4,1,2,36,4
2,1,2,36,4
1,5,2,36,3
1,4,4,37,2
1,4,3,38,2
3,1,2,38,4
2,2,3,40,4
2,3,3,40,2
2,3,2,40,3
2,4,2,40,3
1,3,5,41,2
2,2,4,41,1
5,1,2,41,5
2,4,3,42,2
5,4,1,42,1
1,1,5,44,2
2,4,3,44,1
1,1,5,45,2
1,4,5,45,2
1,3,4,45,2
2,3,5,46,2
2,2,4,46,1
4,1,3,49,1
5,4,2,49,5
4,3,2,49,5
1,1,5,50,2
1,4,5,50,2
2,5,5,51,5
4,3,2,51,5
4,1,3,54,1
3,1,3,54,4
3,1,3,55,4
4,3,2,55,5
2,4,5,56,5
2,2,5,57,1
4,2,2,57,1
4,3,2,57,5
3,3,5,59,5
3,3,4,59,1
4,2,2,59,1
3,2,4,61,1
5,2,3,61,5
3,3,3,61,1
2,1,4,62,4
3,4,2,62,1
5,4,3,63,5
3,5,3,63,1
3,3,3,64,1
5,3,2,65,5
5,5,2,65,5
3,3,3,66,1
4,1,4,67,1
3,4,3,67,1
3,4,4,69,5
4,3,1,69,1
3,2,5,70,5
3,5,3,70,1
4,4,2,70,1
4,5,2,70,5
3,3,2,70,1
2,1,5,71,1
3,4,4,72,5
3,5,4,73,5
4,3,3,73,5
4,5,4,74,5
4,4,3,74,5
4,1,4,75,1
4,2,3,75,1
4,5,2,75,5
4,3,5,76,5
4,3,4,76,5
5,3,3,77,5
4,3,4,78,5
4,5,5,80,5
4,2,5,81,5
3,1,5,81,1
5,5,4,81,5
5,4,4,82,5
5,3,1,82,5
5,3,1,84,5
4,5,5,85,5
5,2,4,85,5
5,3,4,85,5
3,1,5,87,1
5,3,4,87,5
4,1,5,88,1
5,2,4,88,5
5,2,4,89,5
5,1,5,90,5
5,3,5,90,5
5,3,5,92,5
1,1,1,19,4
1,1,3,23,4
5,5,1,24,5
4,4,1,24,1
1,4,1,24,3
1,2,1,25,4
1,4,1,25,3
1,5,1,25,3
5,1,1,26,1
3,1,1,26,4
3,4,1,26,1
1,1,1,26,4
4,4,1,27,1
2,1,1,27,4
1,2,2,28,4
2,2,1,28,4
2,4,1,29,3
1,3,1,29,4
2,1,2,30,4
1,2,4,31,2
1,3,3,31,3
2,1,2,31,4
1,4,2,31,3
4,5,1,31,1
3,5,1,31,1
1,2,4,32,1
5,1,1,32,1
3,5,1,32,1
1,4,2,33,3
5,1,1,33,4
1,5,4,34,2
2,1,2,35,4
2,3,3,37,2
5,1,2,37,5
2,1,2,37,4
1,5,2,37,3
5,1,2,38,5
5,2,2,38,5
2,4,2,38,3
4,2,1,38,1
1,4,4,39,2
2,5,3,39,1
3,1,2,39,4
5,1,2,40,5
2,2,2,40,4
4,2,1,42,1
2,5,3,43,1
2,3,4,44,1
2,5,4,44,5
2,3,3,44,2
2,3,5,45,2
2,4,2,45,3
1,4,5,46,2
1,3,4,46,2
2,5,2,46,1
2,1,3,48,4
2,5,4,49,5
3,1,3,49,4
2,4,4,50,2
2,4,4,51,2
5,1,3,51,1
5,4,2,51,5
2,2,5,53,2
2,4,4,53,2
5,4,2,53,5
3,2,2,53,4
3,3,5,54,5
5,4,3,55,5
5,4,2,55,5
3,1,3,56,4
3,2,1,56,4
3,3,4,57,1
5,1,3,57,1
3,1,3,57,4
3,3,5,58,5
3,2,4,58,1
5,4,3,59,5
2,1,4,60,4
4,3,1,61,1
3,2,4,62,1
3,3,4,62,1
5,5,2,63,5
5,4,3,64,5
3,5,3,64,1
5,2,3,65,5
3,2,3,65,1
3,4,2,65,1
4,3,1,65,1
5,1,4,66,1
3,4,4,67,5
3,4,4,68,5
3,5,4,68,5
3,4,5,70,5
5,5,3,71,5
3,4,2,71,1
5,5,3,73,5
4,4,5,74,5
5,1,4,74,1
4,3,3,74,5
4,5,2,74,5
4,5,5,76,5
5,5,4,76,5
4,4,3,76,5
4,5,2,76,5
4,4,4,77,5
5,5,3,77,5
4,5,3,78,5
4,3,5,79,5
4,5,5,79,5
5,3,4,79,5
5,5,4,80,5
4,3,4,80,5
5,4,4,81,5
3,1,5,82,1
4,5,5,83,5
5,3,4,83,5
5,4,4,84,5
5,3,5,85,5
5,3,4,86,5
5,3,1,87,5
5,3,1,88,5
5,1,5,89,5
5,3,1,90,5
1,1,2,18,4
3,1,1,19,4
3,1,1,20,4
2,5,1,20,3
4,4,1,23,1
3,5,1,23,1
1,4,1,23,3
1,1,3,25,4
5,5,1,25,5
2,4,1,25,3
1,2,1,26,4
1,4,1,26,3
1,2,2,27,4
4,5,1,27,1
3,1,1,27,4
3,5,1,27,1
1,1,3,28,4
5,1,1,28,4
4,5,1,28,1
3,4,1,28,1
2,3,1,28,4
1,3,1,28,4
1,5,3,29,2
1,3,2,29,4
3,5,1,29,1
5,2,1,30,5
4,5,1,30,1
1,1,4,31,4
1,4,3,31,2
2,2,2,31,4
2,3,1,31,4
1,5,2,32,3
1,3,3,35,3
1,1,4,36,4
1,4,4,36,2
2,2,3,36,4
1,4,3,36,2
5,1,2,36,5
5,4,1,36,1
4,1,2,37,4
1,5,5,38,5
1,3,3,38,3
1,5,5,39,5
1,1,4,39,4
5,1,2,39,5
5,4,1,39,1
2,5,2,40,1
1,2,5,41,2
2,5,4,41,5
1,4,5,42,2
2,1,3,42,4
2,2,3,42,4
1,3,5,43,2
2,3,5,44,5
2,2,4,44,1
2,4,4,44,2
1,5,5,45,5
2,4,3,46,1
2,3,5,47,2
5,4,2,47,5
2,3,4,48,1
2,4,4,48,2
2,5,2,48,1
2,5,5,50,5
2,3,4,52,2
5,4,2,52,5
3,3,5,53,5
3,2,1,54,4
2,1,4,55,4
3,2,1,55,4
2,5,5,56,5
4,3,2,56,5
3,5,2,56,1
3,2,4,57,1
5,3,2,57,5
3,3,4,58,1
4,1,3,58,1
3,1,3,58,4
3,2,2,59,4
2,4,5,60,5
5,5,2,60,5
5,4,3,61,5
3,5,2,62,1
3,3,3,63,1
4,2,2,63,1
3,2,3,64,1
5,3,2,64,5
3,4,2,64,1
3,3,3,65,1
3,4,5,66,5
3,4,2,66,1
3,4,2,68,1
2,1,5,69,1
3,5,4,69,5
3,3,3,70,1
3,4,2,70,1
4,4,5,73,5
3,2,5,73,5
3,1,4,73,1
4,2,4,74,5
4,4,5,75,5
5,3,3,75,5
4,4,4,76,5
4,5,3,76,5
4,5,5,77,5
5,4,4,77,5
5,5,4,79,5
4,5,4,79,5
5,5,5,80,5
5,3,3,80,5
4,5,3,80,5
5,3,4,81,5
5,3,1,81,5
4,4,4,82,5
5,3,3,82,5
4,5,3,82,5
5,2,4,83,5
5,3,5,84,5
4,1,5,84,1
5,1,5,85,5
5,5,5,89,5
5,4,5,90,5
5,1,5,91,5
5,3,5,91,5
5,2,5,97,5
5,2,5,98,5
1,1,3,19,4
1,1,3,20,4
1,2,2,20,4
2,2,1,20,4
1,2,1,20,4
1,1,1,21,4
2,4,1,23,3
1,2,3,24,4
3,4,1,24,1
3,5,1,24,1
2,4,1,24,3
1,5,1,24,3
4,5,1,25,1
1,2,2,26,4
2,2,1,26,4
1,5,1,26,3
2,1,2,28,4
1,4,2,28,3
1,5,2,28,3
4,1,1,28,4
1,2,2,29,4
1,5,2,29,3
5,2,1,29,5
4,4,1,29,1
2,3,2,31,3
1,4,4,32,2
2,3,2,32,3
1,1,4,33,4
1,3,3,33,3
1,4,4,34,2
2,3,2,34,3
5,1,1,34,1
5,1,2,35,5
1,2,5,36,2
5,2,1,36,5
1,5,5,37,5
2,2,3,37,4
2,3,2,37,3
2,3,3,38,2
2,3,2,38,3
5,2,1,38,5
2,5,2,39,1
3,1,2,40,4
2,3,3,41,2
2,5,2,41,1
2,3,3,42,2
5,1,2,42,5
1,4,5,43,2
1,5,5,43,5
1,3,4,43,2
2,1,3,43,4
2,3,4,45,1
2,5,4,45,5
2,1,3,45,4
5,2,2,45,5
2,4,4,46,2
2,4,4,47,2
2,1,3,47,4
2,4,3,47,2
2,2,5,49,2
2,3,4,50,1
4,3,2,50,5
1,1,5,51,2
2,1,4,53,4
2,5,5,54,5
2,5,5,55,5
3,3,4,56,1
4,1,3,56,1
3,2,2,56,4
5,4,3,57,5
2,4,5,58,5
3,2,3,58,1
3,2,1,58,4
3,2,4,59,1
3,2,3,59,1
5,3,2,59,5
5,5,2,59,5
4,2,2,60,1
3,2,1,60,4
3,2,3,61,1
4,2,2,61,1
4,4,2,62,5
3,2,4,63,1
3,4,3,63,1
3,3,2,63,1
3,4,4,64,5
5,2,3,64,5
4,3,1,64,1
3,4,5,65,5
2,1,5,66,1
3,2,5,68,5
3,3,3,69,1
3,4,2,69,1
4,3,3,70,5
5,1,4,71,1
4,1,4,71,1
3,5,4,71,5
4,2,3,71,1
4,5,2,71,5
4,3,4,72,5
3,5,3,72,1
2,1,5,73,1
4,4,4,74,5
5,3,3,74,5
4,4,4,75,5
4,2,3,77,1
4,4,4,78,5
4,5,4,78,5
4,2,4,79,5
5,5,3,79,5
4,4,3,79,5
4,4,5,80,5
5,3,4,80,5
5,5,3,80,5
4,3,4,81,5
4,5,3,81,5
5,5,4,83,5
5,3,1,83,5
5,5,5,85,5
5,5,5,88,5
4,2,5,88,5
5,3,5,89,5
5,4,5,91,5
5,2,5,100,5
