compl,accel,decel,result,cluster_cr,cluster_ar,cluster_dr,cluster_car,cluster_cdr,cluster_adr
1,2,3,28,1,2,2,2,4,4
1,2,4,30,1,2,2,2,18,2
1,2,4,31,1,2,2,2,18,2
1,2,5,41,1,2,1,2,9,2
1,2,5,42,1,2,1,2,9,2
1,3,1,29,1,2,2,3,5,4
1,3,1,30,1,2,2,3,5,4
1,3,2,30,1,2,2,3,5,4
1,3,2,31,1,2,2,3,5,4
1,3,3,33,1,2,2,3,4,4
1,3,3,34,1,2,2,3,4,4
1,3,4,43,1,2,1,3,18,2
1,3,4,44,1,2,1,3,18,2
1,3,5,44,1,2,1,3,9,2
1,3,5,45,1,2,1,3,9,2
1,4,1,23,1,1,2,3,5,3
1,4,1,24,1,1,2,3,5,3
1,4,2,34,1,1,2,3,5,3
1,4,2,35,1,1,2,3,5,3
1,4,3,36,1,1,2,3,4,3
1,4,3,37,1,1,2,3,4,3
1,4,4,42,1,1,1,3,18,2
1,4,4,43,1,1,1,3,18,2
1,4,5,53,1,1,1,3,9,7
1,4,5,54,1,1,1,3,9,7
1,5,1,22,1,1,2,3,5,3
1,5,1,23,1,1,2,3,5,3
1,5,2,31,1,1,2,3,5,3
1,5,2,32,1,1,2,3,5,3
1,5,3,40,1,1,2,3,4,3
1,5,3,41,1,1,2,3,4,3
1,5,4,43,1,1,1,3,18,7
1,5,4,44,1,1,1,3,18,7
1,5,5,51,1,1,1,3,9,7
1,5,5,52,1,1,1,3,9,7
2,1,1,23,1,2,2,2,11,4
2,1,1,24,1,2,2,2,11,4
2,1,2,46,1,2,2,2,12,4
2,1,2,47,1,2,2,2,12,4
2,1,3,40,1,2,2,2,3,4
2,1,3,41,1,2,2,2,3,4
2,1,4,38,1,2,1,2,20,2
2,1,4,39,1,2,1,2,20,2
2,1,5,47,1,2,1,2,9,2
2,1,5,48,1,2,1,2,9,2
2,2,1,37,1,2,2,2,11,4
2,2,1,38,1,2,2,2,11,4
2,2,2,48,1,2,2,2,12,4
2,2,2,49,1,2,2,2,12,4
2,2,3,48,1,2,2,2,3,2
2,2,3,49,1,2,2,2,3,2
2,2,4,43,1,2,1,2,20,2
2,2,4,44,1,2,1,2,20,2
2,2,5,43,1,2,1,2,9,2
2,2,5,44,1,2,1,2,9,2
2,3,1,30,1,2,2,3,11,4
2,3,1,31,1,2,2,3,11,4
2,3,2,46,1,2,2,3,12,4
2,3,2,47,1,2,2,3,12,4
2,3,3,48,1,2,2,3,3,2
2,3,3,49,1,2,2,3,3,2
2,3,4,49,1,2,1,3,6,2
2,3,4,50,1,2,1,3,6,2
2,3,5,52,1,2,1,3,9,2
2,3,5,53,1,2,1,3,9,2
2,4,1,30,1,1,2,3,11,3
2,4,1,31,1,1,2,3,11,3
2,4,2,36,1,1,2,3,11,3
2,4,2,37,1,1,2,3,11,3
2,4,3,45,1,1,2,3,3,3
2,4,3,46,1,1,2,3,3,3
2,4,4,50,1,1,1,3,6,7
2,4,4,51,1,1,1,3,6,7
2,4,5,55,1,1,1,3,9,7
2,4,5,56,1,1,1,3,9,7
2,5,1,30,1,1,2,3,11,3
2,5,1,31,1,1,2,3,11,3
2,5,2,37,1,1,2,3,11,3
2,5,2,38,1,1,2,3,11,3
2,5,3,40,1,1,2,3,3,3
2,5,3,41,1,1,2,3,3,3
2,5,4,46,1,1,1,3,6,7
2,5,4,47,1,1,1,3,6,7
2,5,5,57,1,1,1,3,9,7
2,5,5,58,1,1,1,3,9,7
3,1,1,41,1,2,2,2,12,4
3,1,1,42,1,2,2,2,12,4
3,1,2,46,1,2,2,2,2,4
3,1,2,47,1,2,2,2,2,4
3,1,3,58,2,4,1,2,16,1
3,1,3,59,2,4,1,2,16,1
3,1,4,57,2,4,1,2,7,2
3,1,4,58,2,4,1,2,7,2
3,1,5,59,2,4,1,2,7,2
3,1,5,60,2,4,1,2,7,2
3,2,1,41,1,2,2,2,12,4
3,2,1,42,1,2,2,2,12,4
3,2,2,52,1,2,2,2,2,4
3,2,2,53,1,2,2,2,2,4
3,2,3,63,2,4,1,1,16,1
3,2,3,64,2,4,1,1,16,1
3,2,4,69,2,4,1,1,7,5
3,2,4,70,2,4,1,1,7,5
3,2,5,69,2,4,1,1,14,5
3,2,5,70,2,4,1,1,14,5
3,3,1,51,1,2,2,3,12,4
3,3,1,52,1,2,2,3,12,4
3,3,2,55,1,2,2,3,2,6
3,3,2,56,1,2,2,1,2,6
3,3,3,64,2,3,1,1,16,6
3,3,3,65,2,3,1,1,16,6
3,3,4,70,2,3,1,1,7,5
3,3,4,71,2,3,1,1,7,5
3,3,5,73,2,3,1,1,14,5
3,3,5,74,2,3,1,1,14,5
3,4,1,44,1,1,2,3,12,3
3,4,1,45,1,1,2,3,12,3
3,4,2,58,2,3,2,3,2,6
3,4,2,59,2,3,2,3,2,6
3,4,3,69,2,3,1,1,16,6
3,4,3,70,2,3,1,1,16,6
3,4,4,72,2,3,1,1,7,7
3,4,4,73,2,3,1,1,7,7
3,4,5,71,2,3,1,1,14,7
3,4,5,72,2,3,1,1,14,7
3,5,1,41,1,1,2,3,12,3
3,5,1,42,1,1,2,3,12,3
3,5,2,49,1,1,2,3,2,3
3,5,2,50,1,1,2,3,2,3
3,5,3,70,2,3,1,1,16,7
3,5,3,71,2,3,1,1,16,7
3,5,4,73,2,3,1,1,7,7
3,5,4,74,2,3,1,1,7,7
3,5,5,71,2,3,1,1,14,7
3,5,5,72,2,3,1,1,14,7
4,1,1,62,2,4,2,1,8,1
4,1,1,63,2,4,2,1,8,1
4,1,2,64,2,4,2,1,8,1
4,1,2,65,2,4,2,1,8,1
4,1,3,66,2,4,1,1,17,1
4,1,3,67,2,4,1,1,17,1
4,1,4,70,2,4,1,1,19,5
4,1,4,71,2,4,1,1,19,5
4,1,5,71,2,4,1,1,14,5
4,1,5,72,2,4,1,1,14,5
4,2,1,59,2,4,2,1,8,1
4,2,1,60,2,4,2,1,8,1
4,2,2,63,2,4,2,1,8,1
4,2,2,64,2,4,2,1,8,1
4,2,3,69,2,4,1,1,17,1
4,2,3,70,2,4,1,1,17,1
4,2,4,76,2,4,1,1,19,5
4,2,4,77,2,4,1,1,19,5
4,2,5,81,2,4,1,1,14,5
4,2,5,82,2,4,1,1,14,5
4,3,1,63,2,3,2,1,8,6
4,3,1,64,2,3,2,1,8,6
4,3,2,65,2,3,2,1,8,6
4,3,2,66,2,3,2,1,8,6
4,3,3,68,2,3,1,1,17,6
4,3,3,69,2,3,1,1,17,6
4,3,4,74,2,3,1,1,19,5
4,3,4,75,2,3,1,1,19,5
4,3,5,82,2,3,1,1,14,5
4,3,5,83,2,3,1,1,14,5
4,4,1,68,2,3,2,1,8,6
4,4,1,69,2,3,2,1,8,6
4,4,2,67,2,3,2,1,8,6
4,4,2,68,2,3,2,1,8,6
4,4,3,71,2,3,1,1,17,6
4,4,3,72,2,3,1,1,17,6
4,4,4,75,2,3,1,1,19,7
4,4,4,76,2,3,1,1,19,7
4,4,5,81,2,3,1,1,14,7
4,4,5,82,2,3,1,1,14,7
4,5,1,63,2,3,2,1,8,6
4,5,1,64,2,3,2,1,8,6
4,5,2,68,2,3,2,1,8,6
4,5,2,69,2,3,2,1,8,6
4,5,3,75,2,3,1,1,17,7
4,5,3,76,2,3,1,1,17,7
4,5,4,80,2,3,1,1,19,7
4,5,4,81,2,3,1,1,19,7
4,5,5,85,2,3,1,1,14,7
4,5,5,86,2,3,1,1,14,7
5,1,1,84,2,4,2,1,15,1
5,1,1,85,2,4,2,1,15,1
5,1,2,85,2,4,1,1,1,1
5,1,2,86,2,4,1,1,1,1
5,1,3,85,2,4,1,1,1,1
5,1,3,86,2,4,1,1,1,1
5,1,4,83,2,4,1,1,13,5
5,1,4,84,2,4,1,1,13,5
5,1,5,83,2,4,1,1,10,5
5,1,5,84,2,4,1,1,10,5
5,2,1,80,2,4,2,1,15,1
5,2,1,81,2,4,2,1,15,1
5,2,2,82,2,4,1,1,1,1
5,2,2,83,2,4,1,1,1,1
5,2,3,86,2,4,1,1,1,1
5,2,3,87,2,4,1,1,1,1
5,2,4,83,2,4,1,1,13,5
5,2,4,84,2,4,1,1,13,5
5,2,5,90,2,4,1,1,10,5
5,2,5,91,2,4,1,1,10,5
5,3,1,78,2,3,2,1,15,6
5,3,1,79,2,3,2,1,15,6
5,3,2,83,2,3,1,1,1,6
5,3,2,84,2,3,1,1,1,6
5,3,3,85,2,3,1,1,1,6
5,3,3,86,2,3,1,1,1,6
5,3,4,82,2,3,1,1,13,5
5,3,4,83,2,3,1,1,13,5
5,3,5,88,2,3,1,1,10,5
5,3,5,89,2,3,1,1,10,5
5,4,1,84,2,3,2,1,15,6
5,4,1,85,2,3,2,1,15,6
5,4,2,83,2,3,1,1,1,6
5,4,2,84,2,3,1,1,1,6
5,4,3,82,2,3,1,1,1,6
5,4,3,83,2,3,1,1,1,6
5,4,4,80,2,3,1,1,13,7
5,4,4,81,2,3,1,1,13,7
5,4,5,87,2,3,1,1,10,7
5,4,5,88,2,3,1,1,10,7
5,5,1,87,2,3,2,1,15,6
5,5,1,88,2,3,2,1,15,6
5,5,2,84,2,3,1,1,1,6
5,5,2,85,2,3,1,1,1,6
5,5,3,83,2,3,1,1,1,7
5,5,3,84,2,3,1,1,1,7
5,5,4,82,2,3,1,1,13,7
5,5,4,83,2,3,1,1,13,7
5,5,5,86,2,3,1,1,10,7
5,5,5,87,2,3,1,1,10,7
1,1,1,22,1,2,2,2,5,4
1,1,1,23,1,2,2,2,5,4
1,1,2,22,1,2,2,2,5,4
1,1,2,23,1,2,2,2,5,4
1,1,3,23,1,2,2,2,4,4
1,1,3,24,1,2,2,2,4,4
1,1,4,32,1,2,2,2,18,2
1,1,4,33,1,2,2,2,18,2
1,1,5,46,1,2,1,2,9,2
1,1,5,47,1,2,1,2,9,2
1,2,1,22,1,2,2,2,5,4
1,2,1,23,1,2,2,2,5,4
1,2,2,27,1,2,2,2,5,4
1,2,2,28,1,2,2,2,5,4
1,2,3,27,1,2,2,2,4,4
1,2,3,28,1,2,2,2,4,4
1,2,4,30,1,2,2,2,18,2
1,2,4,31,1,2,2,2,18,2
1,2,5,41,1,2,1,2,9,2
1,2,5,42,1,2,1,2,9,2
1,3,1,29,1,2,2,3,5,4
1,3,1,30,1,2,2,3,5,4
1,3,2,30,1,2,2,3,5,4
1,3,2,31,1,2,2,3,5,4
1,3,3,33,1,2,2,3,4,4
1,3,3,34,1,2,2,3,4,4
1,3,4,43,1,2,1,3,18,2
1,3,4,44,1,2,1,3,18,2
1,3,5,44,1,2,1,3,9,2
1,3,5,45,1,2,1,3,9,2
1,4,1,23,1,1,2,3,5,3
1,4,1,24,1,1,2,3,5,3
1,4,2,34,1,1,2,3,5,3
1,4,2,35,1,1,2,3,5,3
1,4,3,36,1,1,2,3,4,3
1,4,3,37,1,1,2,3,4,3
1,4,4,42,1,1,1,3,18,2
1,4,4,43,1,1,1,3,18,2
1,4,5,53,1,1,1,3,9,7
1,4,5,54,1,1,1,3,9,7
1,5,1,22,1,1,2,3,5,3
1,5,1,23,1,1,2,3,5,3
1,5,2,31,1,1,2,3,5,3
1,5,2,32,1,1,2,3,5,3
1,5,3,40,1,1,2,3,4,3
1,5,3,41,1,1,2,3,4,3
1,5,4,43,1,1,1,3,18,7
1,5,4,44,1,1,1,3,18,7
1,5,5,51,1,1,1,3,9,7
1,5,5,52,1,1,1,3,9,7
2,1,1,23,1,2,2,2,11,4
2,1,1,24,1,2,2,2,11,4
2,1,2,46,1,2,2,2,12,4
2,1,2,47,1,2,2,2,12,4
2,1,3,40,1,2,2,2,3,4
2,1,3,41,1,2,2,2,3,4
2,1,4,38,1,2,1,2,20,2
2,1,4,39,1,2,1,2,20,2
2,1,5,47,1,2,1,2,9,2
2,1,5,48,1,2,1,2,9,2
2,2,1,37,1,2,2,2,11,4
2,2,1,38,1,2,2,2,11,4
2,2,2,48,1,2,2,2,12,4
2,2,2,49,1,2,2,2,12,4
2,2,3,48,1,2,2,2,3,2
2,2,3,49,1,2,2,2,3,2
2,2,4,43,1,2,1,2,20,2
2,2,4,44,1,2,1,2,20,2
2,2,5,43,1,2,1,2,9,2
2,2,5,44,1,2,1,2,9,2
2,3,1,30,1,2,2,3,11,4
2,3,1,31,1,2,2,3,11,4
2,3,2,46,1,2,2,3,12,4
2,3,2,47,1,2,2,3,12,4
2,3,3,48,1,2,2,3,3,2
2,3,3,49,1,2,2,3,3,2
2,3,4,49,1,2,1,3,6,2
2,3,4,50,1,2,1,3,6,2
2,3,5,52,1,2,1,3,9,2
2,3,5,53,1,2,1,3,9,2
2,4,1,30,1,1,2,3,11,3
2,4,1,31,1,1,2,3,11,3
2,4,2,36,1,1,2,3,11,3
2,4,2,37,1,1,2,3,11,3
2,4,3,45,1,1,2,3,3,3
2,4,3,46,1,1,2,3,3,3
2,4,4,50,1,1,1,3,6,7
2,4,4,51,1,1,1,3,6,7
2,4,5,55,1,1,1,3,9,7
2,4,5,56,1,1,1,3,9,7
2,5,1,30,1,1,2,3,11,3
2,5,1,31,1,1,2,3,11,3
2,5,2,37,1,1,2,3,11,3
2,5,2,38,1,1,2,3,11,3
2,5,3,40,1,1,2,3,3,3
2,5,3,41,1,1,2,3,3,3
2,5,4,46,1,1,1,3,6,7
2,5,4,47,1,1,1,3,6,7
2,5,5,57,1,1,1,3,9,7
2,5,5,58,1,1,1,3,9,7
3,1,1,41,1,2,2,2,12,4
3,1,1,42,1,2,2,2,12,4
3,1,2,46,1,2,2,2,2,4
3,1,2,47,1,2,2,2,2,4
3,1,3,58,2,4,1,2,16,1
3,1,3,59,2,4,1,2,16,1
3,1,4,57,2,4,1,2,7,2
3,1,4,58,2,4,1,2,7,2
3,1,5,59,2,4,1,2,7,2
3,1,5,60,2,4,1,2,7,2
3,2,1,41,1,2,2,2,12,4
3,2,1,42,1,2,2,2,12,4
3,2,2,52,1,2,2,2,2,4
3,2,2,53,1,2,2,2,2,4
3,2,3,63,2,4,1,1,16,1
3,2,3,64,2,4,1,1,16,1
3,2,4,69,2,4,1,1,7,5
3,2,4,70,2,4,1,1,7,5
3,2,5,69,2,4,1,1,14,5
3,2,5,70,2,4,1,1,14,5
3,3,1,51,1,2,2,3,12,4
3,3,1,52,1,2,2,3,12,4
3,3,2,55,1,2,2,3,2,6
3,3,2,56,1,2,2,1,2,6
3,3,3,64,2,3,1,1,16,6
3,3,3,65,2,3,1,1,16,6
3,3,4,70,2,3,1,1,7,5
3,3,4,71,2,3,1,1,7,5
3,3,5,73,2,3,1,1,14,5
3,3,5,74,2,3,1,1,14,5
3,4,1,44,1,1,2,3,12,3
3,4,1,45,1,1,2,3,12,3
3,4,2,58,2,3,2,3,2,6
3,4,2,59,2,3,2,3,2,6
3,4,3,69,2,3,1,1,16,6
3,4,3,70,2,3,1,1,16,6
3,4,4,72,2,3,1,1,7,7
3,4,4,73,2,3,1,1,7,7
3,4,5,71,2,3,1,1,14,7
3,4,5,72,2,3,1,1,14,7
3,5,1,41,1,1,2,3,12,3
3,5,1,42,1,1,2,3,12,3
3,5,2,49,1,1,2,3,2,3
3,5,2,50,1,1,2,3,2,3
3,5,3,70,2,3,1,1,16,7
3,5,3,71,2,3,1,1,16,7
3,5,4,73,2,3,1,1,7,7
3,5,4,74,2,3,1,1,7,7
3,5,5,71,2,3,1,1,14,7
3,5,5,72,2,3,1,1,14,7
4,1,1,62,2,4,2,1,8,1
4,1,1,63,2,4,2,1,8,1
4,1,2,64,2,4,2,1,8,1
4,1,2,65,2,4,2,1,8,1
4,1,3,66,2,4,1,1,17,1
4,1,3,67,2,4,1,1,17,1
4,1,4,70,2,4,1,1,19,5
4,1,4,71,2,4,1,1,19,5
4,1,5,71,2,4,1,1,14,5
4,1,5,72,2,4,1,1,14,5
4,2,1,59,2,4,2,1,8,1
4,2,1,60,2,4,2,1,8,1
4,2,2,63,2,4,2,1,8,1
4,2,2,64,2,4,2,1,8,1
4,2,3,69,2,4,1,1,17,1
4,2,3,70,2,4,1,1,17,1
4,2,4,76,2,4,1,1,19,5
4,2,4,77,2,4,1,1,19,5
4,2,5,81,2,4,1,1,14,5
4,2,5,82,2,4,1,1,14,5
4,3,1,63,2,3,2,1,8,6
4,3,1,64,2,3,2,1,8,6
4,3,2,65,2,3,2,1,8,6
4,3,2,66,2,3,2,1,8,6
4,3,3,68,2,3,1,1,17,6
4,3,3,69,2,3,1,1,17,6
4,3,4,74,2,3,1,1,19,5
4,3,4,75,2,3,1,1,19,5
4,3,5,82,2,3,1,1,14,5
4,3,5,83,2,3,1,1,14,5
4,4,1,68,2,3,2,1,8,6
4,4,1,69,2,3,2,1,8,6
4,4,2,67,2,3,2,1,8,6
4,4,2,68,2,3,2,1,8,6
4,4,3,71,2,3,1,1,17,6
4,4,3,72,2,3,1,1,17,6
4,4,4,75,2,3,1,1,19,7
4,4,4,76,2,3,1,1,19,7
4,4,5,81,2,3,1,1,14,7
4,4,5,82,2,3,1,1,14,7
4,5,1,63,2,3,2,1,8,6
4,5,1,64,2,3,2,1,8,6
4,5,2,68,2,3,2,1,8,6
4,5,2,69,2,3,2,1,8,6
